"ADRESA","ADRESARAW","LOCALITATE","NUME"
"aleea trandafirilor nr. 12, ap. 10","ALEEA TRANDAFIRILOR NR. 12, AP. 10","SUCEAVA","LOSTUN ION"
"strada mihai viteazu nr. 9, bl. 9, sc. b, ap. 9","STR. MIHAI VITEAZU NR. 9, BL. 9, SC. B, AP. 9","SUCEAVA","LOSTUN RĂZVAN-LAURIAN"
"strada berlin nr. 27","STR. BERLIN NR. 27","DUMBRĂVIŢA","LUCA ANA"
"calea dorobanţilor nr. 184, sectorul 1","CALEA DOROBANŢILOR NR. 184, Sectorul 1","BUCURESTI","LUCA MARIUS"
"parcul traian, nr.11","PARCUL TRAIAN, Nr.11","ORADEA","LUCIAN FLOAREA"
"piaţa alessandria, nr. 11, camera 1, et. 1","PIAŢA ALESSANDRIA, NR. 11, CAMERA 1, ET. 1","ALBA IULIA","LUHA VASILE"
"piaţa mihai viteazu nr. 11, bl. a 142, parter ","PIAŢA MIHAI VITEAZU NR. 11, BL. A 142, PARTER ","CÂMPIA TURZII","LUJERDEANU CONSTANTIN"
"p-ţa libertăţii nr. 50","P-ŢA LIBERTĂŢII NR. 50","CRISTURU SECUIESC","LUKÁCS KATALIN"
"strada turzii, nr. 1, ap. 1/c, jud. alba","STR. TURZII, NR. 1, AP. 1/C, JUD. ALBA","CÂMPENI","LUNCEAN IOAN-LUCIAN"
"piaţa naţiunile unite nr. 3-5,bl.c, sc. 3, ap. 55, sector 4","PIAŢA NAŢIUNILE UNITE NR. 3-5,BL.C, SC. 3, AP. 55, SECTOR 4","BUCUREŞTI","LUNGU FULGA-CARMEN-GAROFIŢA"
"garii, nr.2, bl.pavilion d, ap.1","GARII, Nr.2, Bl.Pavilion D, Ap.1","IASI","LUNGU GABRIELA"
"strada tudor vladimirescu nr. 11, bl. p 21, sc. a, ap. 2","STR. TUDOR VLADIMIRESCU NR. 11, BL. P 21, SC. A, AP. 2","ZALĂU","LUPAŞ ANAMARIA-LUCIA"
"strada mihail halici nr. 22, parter","STR. MIHAIL HALICI NR. 22, PARTER","CARANSEBEŞ","LUPĂU SILVIA-ANDREIA"
"strada reşiţa, nr.5, ap.2, jud. cluj","STR. REŞIŢA, Nr.5, Ap.2, JUD. CLUJ","CLUJ-NAPOCA","LUPEA MARIANA"
"bulevardul constantin brâncoveanu, nr. 85a, sector 4","Bld. Constantin Brâncoveanu, nr. 85A, sector 4","Bucureşti","LUPŞA LUCIAN-SIMION"
"siret, bl.95","SIRET, Bl.95","ADJUD","LUPU DAN"
"strada siret, bl. 95, parter, jud vrancea","STR. SIRET, BL. 95, PARTER, JUD VRANCEA","ADJUD","LUPU IULIANA SILVIA"
"strada decebal, nr. 17, jud. prahova","STR. DECEBAL, NR. 17, JUD. PRAHOVA","PLOIEŞTI","LUPU MARIA-LUIZA"
"strada ion maiorescu, nr. 2, bl. 33u2, jud. prahova","STR. ION MAIORESCU, NR. 2, BL. 33U2, JUD. PRAHOVA","PLOIEŞTI","LUPU MARIAN"
"bulevardul iuliu maniu, nr.65, bl.7p, sc.5, ap.143, sectorul 6","B-dul Iuliu Maniu, Nr.65, Bl.7P, Sc.5, Ap.143, Sectorul 6","BUCURESTI","LUPULEAC MIHAI VIOREL"
"bulevardul iuliu maniu, nr. 65, bl. 7p, sc.5,et.1, ap. 143, sector 6","B-DUL IULIU MANIU, NR. 65, BL. 7P, SC.5,ET.1, AP. 143, SECTOR 6","BUCURESTI","LUPULEAC MIOARA CĂTĂLINA"
"bulevardul a.i. cuza nr. 138-142","BD. A.I. CUZA NR. 138-142","BRĂILA","LUŢEA AUREL"
"strada decebal nr. 39","STR. DECEBAL NR. 39","MEDGIDIA","MACOVEI ADELINA-CĂTĂLINA"
"strada ştefan cel mare nr. 79, bl. umps,sc. b, parter","STR. ŞTEFAN CEL MARE NR. 79, BL. UMPS,SC. B, PARTER","HUŞI","MACOVEI RADU-TICU"
"strada stejar nr. 2","STR. STEJAR NR. 2","IASI","MACOVEI RALUCA MIHAELA"
"a. muresan, nr.6, ap.4","A. Muresan, Nr.6, Ap.4","ŞTEI","MADUŢA AUREL"
"bulevardul ferdinand i, nr. 129, bl. e1, sc. c, parter,ap. 40-42, sector 2","BUCUREŞTI, B-DUL FERDINAND I, NR. 129, BL. E1, SC. C, PARTER,AP. 40-42, SECTOR 2","BUCUREŞTI","MAFTEI-BOROI ELENA PAULA"
"strada eugeneral iu de savoya nr.11, ap. 11-12","STR. EUGENIU DE SAVOYA Nr.11, AP. 11-12","TIMISOARA","MAGHIARU ANA ADRIANA"
"strada corneliu coposu nr. 19","STR. CORNELIU COPOSU NR. 19","ZALĂU","MAJER GABRIELA"
"strada petru rareş nr. 54, sc. b, ap. 20","STR. PETRU RAREŞ NR. 54, SC. B, AP. 20","PIATRA NEAMŢ","MAMINĂ-CHIRIAC ADRIAN"
"strada piaţa unirii nr. 65","STR. PIAŢA UNIRII NR. 65","RĂDĂUŢI","MANDICI ALEXANDRU"
"strada gheroghe petraşcu nr. 7, sector 3","STR. GHEROGHE PETRAŞCU NR. 7, SECTOR 3","BUCURESTI","MANEA CARMEN-FLORINA"
"soseaua colentina nr. 16, bl. a3, spaţiu comercial lot 2/1, sector 2","ŞOS. COLENTINA NR. 16, BL. A3, SPAŢIU COMERCIAL LOT 2/1, SECTOR 2","BUCUREŞTI","MANEA VIOLETA-ELENA"
"soseaua colentina, nr. 16, bl. a3, spaţiu comercial lot. 2/1, sect. 2","ŞOS. COLENTINA, NR. 16, BL. A3, SPAŢIU COMERCIAL LOT. 2/1, SECT. 2","BUCUREŞTI","MANEA VIOLETA-ELENA"
"strada calea lui traian, nr. 145, bl. d4, parter","STR. CALEA LUI TRAIAN, NR. 145, BL. D4, PARTER","RM. VÂLCEA","MANEA-ANDREESCU CARMEN MIRELA"
"strada ion movilă, nr. 1","STR. ION MOVILĂ, NR. 1","EFORIE","MANEA-VECHIU DIANA"
"strada constanţei, nr. 11","STR. CONSTANŢEI, NR. 11","COBADIN","MANEA-VECHIU DIANA"
"bulevardul iuliu maniu nr. 19f, parter, spaţiul nr. 2 (şi spaţiu arhivă b-dul iuliu maniu nr. 17, bl. 21p, sc. 2, ap. 42, parter) sector 6","B-DUL IULIU MANIU NR. 19F, PARTER, SPAŢIUL NR. 2 (ŞI SPAŢIU ARHIVĂ B-DUL IULIU MANIU NR. 17, BL. 21P, SC. 2, AP. 42, PARTER) SECTOR 6","BUCUREŞTI","MANOLACHE ANDREI -CLAUDIU"
"aleea flacăra nr. 2","ALEEA FLACĂRA NR. 2","OLTENIŢA","MANOLACHE FLORINA MIHAELA"
"aleea flacăra, nr. 2","ALEEA FLACĂRA, NR. 2","OLTENIŢA","MANOLACHE NICULAE"
"strada gării, nr.44","STR. Gării, Nr.44","BACAU","MANOLE LILIANA"
"calea dorobanţilor nr. 87, et. 3, sector 1","CALEA DOROBANŢILOR NR. 87, ET. 3, SECTOR 1","BUCURESTI","MANOLE MARINA"
"soseaua bucureşti-giurgiu nr. 72, dn5","ŞOS. BUCUREŞTI-GIURGIU NR. 72, DN5","CĂLUGĂRENI","MANOLE PAUL ALEXANDRU"
"costache racovita, nr.3, bl.c, ap.2","COSTACHE Racovita, Nr.3, Bl.C, Ap.2","TECUCI","MANOLIU IONUT-BOGDAN"
"strada gheorghe petraşcu nr. 30, corp a","STR. GHEORGHE PETRAŞCU NR. 30, CORP A","TECUCI","MANOLIU TIBERIU CODRUT"
"strada mihai eminescu nr. 16, bl. e3, parter","STR. MIHAI EMINESCU NR. 16, BL. E3, PARTER","PIATRA NEAMŢ","MARCOCI IULIAN REMUS"
"strada revoluţia 1848 nr. 27/a","STR. REVOLUŢIA 1848 NR. 27/A","CÂMPENI","MARCU IOANA"
"strada revoluţia 1848, nr. 27/a","str. Revoluţia 1848, nr. 27/A","Câmpeni","MARCU VLADIMIR-ION"
"bulevardul eroilor nr. 45, et. 1biroul nr. 3","BD. EROILOR NR. 45, ET. 1BIROUL NR. 3","VOLUNTARI","MARDARE-POP ANDREIA"
"iuliu maniu, nr.15, ap.1","Iuliu Maniu, Nr.15, Ap.1","CLUJ-NAPOCA","MARGA AMALIA-NICOLETA"
"strada ioan raţiu nr. 3, parter","STR. IOAN RAŢIU NR. 3, PARTER","BISTRIŢA","MARIAN LAURENŢIU-NICOLAE "
"strada ioan raţiu nr. 3, apartament-sediu ii, mansardă","STR. IOAN RAŢIU NR. 3, APARTAMENT-SEDIU II, MANSARDĂ","BISTRIŢA","MARIAN STANA"
"strada traian, nr. 76","STR. TRAIAN, NR. 76","DROBETA TURNU SEVERIN","MARIN ANDRECA ALEXANDRA"
"bd eroilor nr.1","BD EROILOR Nr.1","BRASOV","MARIN CIPRIAN"
"strada unirii, nr. 48e","STR. UNIRII, NR. 48E","POGOANELE","MARIN ELENA"
"strada zorilor, nr. 2, jud.buzău","STR. ZORILOR, NR. 2, JUD.BUZĂU","RÂMNICU SĂRAT","MARIN FLORICA"
"strada 15 noiembrie nr. 75, sc. c, ap. 7","STR. 15 NOIEMBRIE NR. 75, SC. C, AP. 7","BRAŞOV","MARIN HORAŢIU"
"calea bucureşti, nr.46, bl.s21, ap.1","CALEA BUCUREŞTI, Nr.46, Bl.S21, Ap.1","BRASOV","MARIN ION"
"strada general eral magheru nr. 8, bl. s1, tronson 6-7","STR. G-RAL MAGHERU NR. 8, BL. S1, TRONSON 6-7","RÂMNICU VÂLCEA","MARIN LIVIU-VALENTIN"
"bulevardul eroilor nr. 1, parter","BLD. EROILOR NR. 1, PARTER","BRASOV","MARIN LUCICA RODICA"
"strada sf. spiridon, nr. 4","STR. SF. SPIRIDON, NR. 4","GALATI","MARINA CLAUDIU CORNEL"
"ion luca caragiale, nr.2, bl.s26, sc.a, ap.2","Ion Luca Caragiale, Nr.2, Bl.S26, Sc.A, Ap.2","BRASOV","MARINA IOANA-VASILICA"
"strada general eral dimitrie salmen, nr. 20, sector 2","STR. G-RAL DIMITRIE SALMEN, NR. 20, SECTOR 2","BUCUREŞTI","MARINA SERGIU-SORIN"
"strada ion voinescu, nr.19, sector 3","STR.ION VOINESCU, Nr.19, Sector 3","BUCURESTI","MARINCAŞ EUGEN"
"strada viorele nr. 34, bl. 15, sc. 1, parter, ap. 1, sector 4","STR. VIORELE NR. 34, BL. 15, SC. 1, PARTER, AP. 1, SECTOR 4","BUCURESTI","MARINESCU ALINA -ALEXANDRA"
"bulevardul unirii, nr.55, bl.e4a,tronson 1, sc.1,et.3, ap. 9, sector 3","B-DUL UNIRII, Nr.55, Bl.E4A,TRONSON 1, SC.1,ET.3, AP. 9, SECTOR 3","BUCURESTI","MARINESCU CRISTINA GEORGETA"
"strada victor papilian, bl.b2, sc.1, ap. 4","STR. VICTOR PAPILIAN, BL.B2, SC.1, AP. 4","CRAIOVA","MARINESCU MARIA-DANIELA"
"mitropolitul firmilian, nr.18a, bl.m 6","Mitropolitul Firmilian, Nr.18A, Bl.M 6","CRAIOVA","MARINESCU NINA COSMINA"
"strada c-tin brâncoveanu, nr. 1","STR. C-TIN BRÂNCOVEANU, NR. 1","RÂMNICU SĂRAT","MARINESCU TITI"
"strada nicolae iorga, nr. 25, jud. alba","STR. NICOLAE IORGA, NR. 25, JUD. ALBA","OCNA MUREŞ","MARINOVICI OANA-ANDREEA"
" piaţa libertăţii nr. 4"," PIAŢA LIBERTĂŢII NR. 4","SIGHETUL MARMATIEI","MARROUCHE OTILIA"
"bulevardul mihai viteazu, bl. 44, parter","BLD. MIHAI VITEAZU, BL. 44, PARTER","VULCAN","MASTACAN ION"
" strada ştirbei vodă, nr.154, bl.26a, ap.1, sectorul 1"," STR. Ştirbei Vodă, Nr.154, Bl.26A, Ap.1, Sectorul 1","BUCURESTI","MATEESCU ADELAIDE -NICOLET"
"bulevardul magheru, nr. 12-14, sc.a, ap. 2, sectorul 1","B-DUL MAGHERU, NR. 12-14, SC.A, AP. 2, SECTORUL 1","BUCURESTI","MATEESCU LUMINIŢA DANIELA"
"strada lt. constantin zlătescu nr. 35, et. 1, sector 2","STR. LT. CONSTANTIN ZLĂTESCU NR. 35, ET. 1, SECTOR 2","Bucuresti","MATEI ANA MARIA"
"strada avram iancu, nr.2","STR. Avram Iancu, Nr.2","ORADEA","MATEI MONICA - MIHAELA"
"sat strada decebal, nr. 167","SAT CERNICA STR. DECEBAL, NR. 167","CERNICA","MATEUŢ MĂDĂLINA-CRISTINA"
"ghrigore ureche, nr.3, bl.sontu","Ghrigore Ureche, Nr.3, Bl.Sontu"," IASI","MAXIMOVICI GEORGETA DOINA"
"strada primăriei, nr. 6/2","STR. PRIMĂRIEI, NR. 6/2","ORADEA","MĂDUŢA IOANA-ADINA"
"bulevardul traian nr. 4, et. 1","B-DUL TRAIAN NR. 4, ET. 1","BAIA MARE","MĂGUREAN MIHAI"
"p-ţa ţepeş vodă, nr.1, parter, jud. timiş","p-ţa Ţepeş Vodă, nr.1, parter, jud. Timiş","TIMIŞOARA","MĂLESCU SIMONA-MARIANA"
"bulevardul iancu de hunedoara, nr.2, bl.h6, sc.1, ap.3, sectorul 1","B-DUL IANCU DE HUNEDOARA, Nr.2, Bl.H6, Sc.1, Ap.3, Sectorul 1","BUCURESTI","MĂNDOIU RODICA"
"polonă, nr.28-30, sectorul 1","Polonă, Nr.28-30, Sectorul 1","BUCURESTI","MĂNESCU DUMITRU VIOREL"
"strada 1decembrie 1918 nr.4","STR. 1Decembrie 1918 Nr.4","MOLDOVA NOUA","MĂNESCU NICOLAE"
"strada george coşbuc nr. 2a","STR. GEORGE COŞBUC NR. 2A","SIBIU","MĂNIGUŢIU NICULAE"
"confederatiei, nr.1","Confederatiei, Nr.1","TARGU-JIU","MĂNOIU NATALIA"
"bulevardul 21 decembrie, nr. 47, ap. 5, jud. cluj ","B-DUL 21 DECEMBRIE, NR. 47, AP. 5, JUD. CLUJ ","CLUJ-NAPOCA","MĂRGINEAN CARMEN-MIHAELA"
"strada transilvaniei, bl.a7, parter, jud. alba","STR. TRANSILVANIEI, BL.A7, PARTER, JUD. ALBA","AIUD","MĂRGINEAN DOREL"
"strada moldovei, nr.2, jud. ","STR. MOLDOVEI, Nr.2, JUD. SIBIU","SIBIU","MĂRGINEAN NICOLAE"
"strada moldovei nr. 2","STR. MOLDOVEI NR. 2","SIBIU","MĂRGINEAN RĂZVAN-EMILIAN"
"soseaua iancului nr. 12, bl. 115, sc. a, parter, ap. 5, sector 2","ŞOS. IANCULUI NR. 12, BL. 115, SC. A, PARTER, AP. 5, SECTOR 2","BUCUREŞTI","MĂTASĂ CRISTINA"
" strada independenţei, nr. 13b, bl. ac 2, sc. 2, ap. 22, jud. prahova "," STR. INDEPENDENŢEI, NR. 13B, BL. AC 2, SC. 2, AP. 22, JUD. PRAHOVA ","PLOPENI","MĂTASĂ CRISTINA"
"strada mircea stănescu, nr.1-3","STR. MIRCEA STĂNESCU, NR.1-3","ARAD","MEDRE IOAN"
"strada sibiu nr. 10, bl. os1, ap. 123, sc.d, parter, sector 6","STR. SIBIU NR. 10, BL. OS1, AP. 123, SC.D, PARTER, SECTOR 6","BUCURESTI","MELENTE DANIELA"
"strada ilarie chendi, nr. 2, ap. 5","STR. ILARIE CHENDI, NR. 2, AP. 5","SIGHIŞOARA","MELINTE OANA"
"strada ilarie chendi nr. 2, ap. 5","STR. ILARIE CHENDI NR. 2, AP. 5","SIGHIŞOARA","MELINTE UNA-LIVIA-MANUELA"
"strada episcopiei nr. 19 - 21, ap. 3","STR. EPISCOPIEI NR. 19 - 21, AP. 3","ARAD","MEMET DIANA-ELENA"
"strada trandafirilor nr. 1, sc. e, ap. 3","STR. TRANDAFIRILOR NR. 1, SC. E, AP. 3","BACĂU","MERCAŞ CAMELIA-MARIA"
"bulevardul mamaia nr. 55a, jud. constanţa","B-DUL MAMAIA NR. 55A, JUD. CONSTANŢA","CONSTANTA","MERGEANE IULIANA"
"traian, nr.5 a","TRAIAN, NR.5 A","TIRGU JIU","MERISESCU ANICA"
"strada mareşal ion antonescu, nr. 5","STR. MAREŞAL ION ANTONESCU, NR. 5","ODOBEŞTI","MICAN CIPRIANA-BIANCA-JOSEPHINA"
"strada republicii, nr. 67, ap. 13/1","STR. REPUBLICII, NR. 67, AP. 13/1","TÂRNĂVENI","MICLĂUŞ CLAUDIU-LIVIU"
"strada mihai veliciu, fostă amurg nr.15, jud. cluj","CLUJ-NAPOCA, STR. MIHAI VELICIU, FOSTĂ AMURG NR.15, JUD. CLUJ","CLUJ-NAPOCA","MICLEA FLORINA"
"strada alba iulia, nr. 8, jud. -năsăud","STR. ALBA IULIA, NR. 8, JUD. BISTRIŢA-NĂSĂUD","BISTRIŢA","MICLEA FLORINA"
"p-ţa unirii nr.7, ap.4","P-ŢA UNIRII NR.7, AP.4","ALEŞD","MICLEA SERGIU TIBERIU"
"strada 1 decembrie 1918, nr.9","STR. 1 DECEMBRIE 1918, Nr.9","CAREI","MICU ELENA MINERVA"
"strada martirilor deportaţi, nr. 48","STR. MARTIRILOR DEPORTAŢI, NR. 48","SATU MARE","MICU LAURA-GEORGETA"
"strada george coşbuc, nr. 2, ap. 2","STR. GEORGE COŞBUC, NR. 2, AP. 2","TIMIŞOARA","MICULESCU DANIELA"
"strada principală, nr. 18","STR. PRINCIPALĂ, NR. 18","BUZIAŞ","MICULESCU DANIELA"
"bulevardul 15 noiembrie, nr.39","B-dul 15 NOIEMBRIE, Nr.39","BRASOV","MIESS GEORGETA"
"bulevardul 15 noiembrie nr. 39 ","B-DUL 15 NOIEMBRIE NR. 39 ","BRAŞOV","MIESS KARL-MICHAEL"
"bulevardul 15 noiembrie, nr. 39","BD. 15 NOIEMBRIE, NR. 39","BRAŞOV","MIESS KARL-MICHAEL"
"strada republicii, nr.26","STR. REPUBLICII, Nr.26","ORADEA","MIHAI DOINA - SOFIA"
"gării, nr.1, bl.g1, sc.c, ap.4","GĂRII, Nr.1, Bl.G1, Sc.C, Ap.4","TULCEA","MIHAI PETRA"
"bulevardul ferdinand nr. 18, sector 2","B-DUL FERDINAND NR. 18, SECTOR 2","BUCUREŞTI","MIHAI SABINA"
"i.c..brătianu, nr.39, bl.p6, sc.1, ap.1, sectorul 3","I.C..BRĂTIANU, Nr.39, Bl.P6, Sc.1, Ap.1, Sectorul 3","BUCURESTI","MIHAIL MIRCEA"
"strada calea călăraşilor, nr. 51, bl. 104, parter","STR. CALEA CĂLĂRAŞILOR, NR. 51, BL. 104, PARTER","BRAILA","MIHALACHE EMIL"
"călăraşi, nr.51, bl.104","CĂLĂRAŞI, Nr.51, Bl.104","BRAILA","MIHALACHE FLORICA"
"calea serban vodă, nr. 286, bl. 3a, sc. a, ap. 1, sectorul 4","CALEA SERBAN VODĂ, NR. 286, BL. 3A, SC. A, AP. 1, SECTORUL 4","BUCURESTI","MIHALACHE NICOLETA GABRIELA"
"bulevardul lacul tei, nr. 29, et.1, ap. 1, sector 2","B-DUL LACUL TEI, NR. 29, ET.1, AP. 1, SECTOR 2","BUCUREŞTI","MIHALCA ROXANA-ELENA"
"republicii, nr.83","REPUBLICII, Nr.83","BABADAG","MIHALCEA EMIL"
"bulevardul republicii, bl. 138, sc.c, ap. 2, parter","B-DUL REPUBLICII, BL. 138, SC.C, AP. 2, PARTER","PITEŞTI","MIHĂILESCU OANA-ANDREEA"
"bulevardul griviţei nr. 54, bl. 9, sc. a, ap. 4, jud. ","BLD. GRIVIŢEI NR. 54, BL. 9, SC. A, AP. 4, JUD. BRAŞOV","BRAŞOV","MIJA COSMIN-IOAN"
"strada târgului nr. 15","STR. TÂRGULUI NR. 15","TÂRGU MUREŞ","MILĂŞAN ZOIŢA"
"strada basarabiei, nr. 12bis","STR. BASARABIEI, NR. 12BIS","BRASOV","MILU CALIN PETRU"
"strada transilvaniei, bl. a7, parter","STR. TRANSILVANIEI, BL. A7, PARTER","AIUD","MINCIUNESCU ROXANA-MARIA"
" strada nerva traian nr.17-19, bl.m70, sc.b, et. 1, ap.31, sectorul 3"," STR. NERVA TRAIAN Nr.17-19, Bl.M70, Sc.B, et. 1, ap.31, Sectorul 3","BUCURESTI","MINCU CATALIN"
"strada ion maiorescu,bl. 33n1, spaţiu b, parter","STR. ION MAIORESCU,BL. 33N1, SPAŢIU B, PARTER","PLOIEŞTI","MINEA OCTAVIAN"
"calea 13 septembrie, nr. 101, bl. 97,parter , sector 5","CALEA 13 SEPTEMBRIE, NR. 101, BL. 97,PARTER , SECTOR 5","BUCUREŞTI","MIRCEA ANIŞOARA"
"bulevardul dacia, nr.106, sectorul 2","B-DUL DACIA, Nr.106, Sectorul 2","BUCURESTI","MIRCIA ELENA"
"strada iuliu maniu nr. 18, ap. 1b","STR.IULIU MANIU NR. 18, AP. 1B","ORADEA","MIRIŞAN LIGIA-VALENTINA"
"strada griviţei, nr.172","STR. GRIVIŢEI, Nr.172","CĂLĂRASI","MITACHE IULIANA ADRIANA"
"strada tineretului, nr. 21, bl. b2, parter","STR. TINERETULUI, NR. 21, BL. B2, PARTER","INSURATEI","MITESCU MARIUS-IULIAN"
"bulevardul octavian goga, nr.23, bl.m106, sc.3, ap.81, sectorul 1","B-dul Octavian Goga, Nr.23, Bl.M106, Sc.3, Ap.81, Sectorul 1","BUCURESTI","MITITIUC ADRIANA MĂDĂLINA"
"splaiul independenţei nr. 1, bl. 16, sc. 2, et. 1, ap. 33, sector 5","SPLAIUL INDEPENDENŢEI NR. 1, BL. 16, SC. 2, ET. 1, AP. 33, SECTOR 5","BUCURESTI","MITREA DORINA"
" calea victoriei nr. 155, bl. d1, tronson 5, et. 5, spaţiile b5 şi c5, camerele b5,1, b5;2, c5;2 şi c5;3, sector 1"," CALEA VICTORIEI NR. 155, BL. D1, TRONSON 5, ET. 5, SPAŢIILE B5 ŞI C5, CAMERELE B5,1, B5;2, C5;2 ŞI C5;3, SECTOR 1","BUCURESTI","MITREA MANUELA"
"strada gabriel stoianovici,nr.8,bl.t2,sc.a, ap. 1, parter","STR. GABRIEL STOIANOVICI,NR.8,BL.T2,SC.A, AP. 1, PARTER","RM. VÂLCEA","MITROI  DAN-MIHAI"
"strada gabriel stoianovici nr. 8, bl. t2, sc. a, parter","STR. GABRIEL STOIANOVICI NR. 8, BL. T2, SC. A, PARTER","RAMNICU VALCEA","MITROI ADINA- MARIA"
"gh.stoianovici, nr.8, bl.t2, sc.a, ap.1","GH.STOIANOVICI, Nr.8, Bl.T2, Sc.A, Ap.1","RM.VÂLCEA","MITROI MARIA"
"iancu jianu, nr.5, ap.1-3","IANCU JIANU, Nr.5, Ap.1-3","CARACAL","MITRU RADIAN"
"calea floreasca, nr.35, sectorul 1","Calea Floreasca, Nr.35, Sectorul 1","BUCURESTI","MIU ADRIAN CLAUDIU"
"bulevardul chişinău,nr. 24, bl.m14, ap.44, sectorul 2","B-dul Chişinău,NR. 24, Bl.M14, Ap.44, Sectorul 2","BUCURESTI","MÎNDRUŢĂ GABRIELA"
"republicii, nr.21","Republicii, Nr.21","BICAZ","MÎRŞU MARIA"
"strada george coşbuc nr. 5","STR. GEORGE COŞBUC NR. 5","TIMIŞOARA","MÎŢIU MIHAI-ALEXANDRU"
"strada george coşbuc, nr. 5","STR. GEORGE COŞBUC, NR. 5","TIMIŞOARA","MÎŢIU SONIA STELIANA"
"strada victoriei nr. 68","STR. VICTORIEI NR. 68","PIATRA OLT","MLADIN-PREOTEASA ALINA-CORINA"
"gheorghe doja nr.76, ap. b","GHEORGHE DOJA Nr.76, AP. B","PLOIEŞTI","MOANŢĂ GEORGETA"
"strada budai nagy antal nr. 26","STR. BUDAI NAGY ANTAL NR. 26","HUEDIN","MOCAN MIHAI-GABRIEL"
"strada principală, nr. 22, bl. b4, ap. 4","BUZIAŞ, STR. PRINCIPALĂ, NR. 22, BL. B4, AP. 4","BUZIAŞ","MOCANU ALIN LEMMY"
"rahovei, nr.15","RAHOVEI, Nr.15","VINJU MARE","MOCANU COCUŢA"
"strada brăilei, nr. 189, bl. j, ap. 22","STR. BRĂILEI, NR. 189, BL. J, AP. 22","GALAŢI","MOCANU LAURA -DANIELA"
"strada mihai viteazu nr. 9","STR. MIHAI VITEAZU NR. 9","BABADAG","MOCANU MARIANA"
"soseaua giurgiului, nr.288","Şos. Giurgiului, Nr.288","JILAVA","MOCANU VICTOR"
"strada i.c.brătianu nr. 36, bl. b1, parter, jud. ","STR. I.C.BRĂTIANU NR. 36, BL. B1, PARTER, JUD. IAŞI","IAŞI","MOGOŞ RADU-VOICU"
"andrei şaguna nr. 34-36, ap. 35","ANDREI ŞAGUNA NR. 34-36, AP. 35","CLUJ-NAPOCA","MOIGRĂDEAN LAURA"
"strada gării, nr. 60","STR. GĂRII, NR. 60","BACAU","MOISE DIANA MARIA"
"calea bucuresti, nr. 654, bl. c1-3, sc. 1et. 1, ap. 3","CALEA BUCURESTI, NR. 654, BL. C1-3, SC. 1ET. 1, AP. 3","OTOPENI","MOISE MIRELA"
"mexic, nr.2, bl.13, ap.2, sectorul 1","MEXIC, Nr.2, Bl.13, Ap.2, Sectorul 1","BUCURESTI","MOISESCU IRINA"
"calea floreasca, nr.35, sectorul 1","Calea FloreascA, Nr.35, Sectorul 1","BUCURESTI","MOLCUT FLAVIUS"
"strada theodor speranţia, nr. 14, sector 3","STR. THEODOR SPERANŢIA, NR. 14, SECTOR 3","BUCUREŞTI","MOLCUŢ IULIA"
"şos pipera, nr. 3/5, bl. 1e,sc. 2, ap. 17, sect.1","ŞOS PIPERA, NR. 3/5, BL. 1E,SC. 2, AP. 17, SECT.1","BUCUREŞTI","MOLDOVAN  MIHAELA"
"strada mărăsesti, nr.9, bl.f2, sc.d, parter, ap.36, ","STR. MĂRĂSESTI, NR.9, BL.F2, SC.D, PARTER, AP.36, ","DEJ","MOLDOVAN VIORICA"
"iuliu maniu, nr.34, ap.2,3,6","Iuliu Maniu, Nr.34, Ap.2,3,6","BRASOV","MOLNÁR GYÖNGYIKE"
"bulevardul regina elisabeta, nr.30, sc.1, ap.14, sectorul 5","B-DUL REGINA ELISABETA, Nr.30, Sc.1, Ap.14, Sectorul 5","BUCURESTI","MONE GABRIELA OLGA"
"strada sterca suluţiu, nr.3, sc.2, e t. 1, ap.15","str. STERCA SULUŢIU, Nr.3, Sc.2, e t. 1, Ap.15","TURDA","MORA RODICA-MARIA"
"strada plt.radulescu, nr.3","STR. PLT.RADULESCU, Nr.3","ROŞIORI DE VEDE","MORCOV TAMARA"
"strada dobrogeanu gherea, nr. 28 bis","STR. DOBROGEANU GHEREA, NR. 28 BIS","TECUCI","MOROSAN ELENA"
"strada oneşti, nr. 80, bl. an7, parter","STTR. ONEŞTI, NR. 80, BL. AN7, PARTER","ORADEA","MOŞ ANCA LAURA"
"strada roman ciorogariu, nr.8","STR. ROMAN CIOROGARIU, Nr.8","ORADEA","MOŞ GHEORGHE"
"strada proclamaţia de al timişoara, nr. 3","STR. PROCLAMAŢIA DE AL TIMIŞOARA, NR. 3","TIMISOARA ","MOTICA ADINA RENATE"
"bulevardul revoluţiei nr. 1, ap. 5","B-DUL REVOLUŢIEI NR. 1, AP. 5","TIMIŞOARA","MOTICA OANA ANDREEA"
"strada mr. av. petre creţu nr. 49, corp c2, parter, ap. 1, sector 1","STR. MR. AV. PETRE CREŢU NR. 49, CORP C2, PARTER, AP. 1, SECTOR 1","BUCUREŞTI","MOTRESCU-GACHI MĂLINA-NICOLA"
"strada nicolae bălcescu nr. 33","STR. NICOLAE BĂLCESCU NR. 33","SIBIU","MOTRONEA MIHAELA-DELIA"
"bulevardul vasile milea, nr. 33 - 37","BLD. VASILE MILEA, NR. 33 - 37","ARAD","MOŢ ANGELICA"
"strada florimund mercy nr. 7, parter, ap. 6","STR. FLORIMUND MERCY NR. 7, PARTER, AP. 6","TIMIŞOARA","MOŢOC DORIANA"
